1,一,1,yī
2,丨,1,gǔn
3,丶,1,zhǔ
4,丿,1,piě
5,乙,1,yǐ
6,亅,1,jué
7,二,2,èr
8,亠,2,tóu
9,人,2,rén
10,儿,2,ér
11,入,2,rù
12,八,2,bā
13,冂,2,jiōng
14,冖,2,mì
15,冫,2,bīng
16,几,2,jī
17,凵,2,kǎn
18,刀,2,dāo
19,力,2,lì
20,勹,2,bāo
21,匕,2,bǐ
22,匚,2,fāng
23,匸,2,xǐ
24,十,2,shí
25,卜,2,bǔ
26,卩,2,jié
27,厂,2,hǎn
28,厶,2,sī
29,又,2,yòu
30,口,3,kǒu
31,囗,3,wéi
32,土,3,tǔ
33,士,3,shì
34,夂,3,zhǐ
35,夊,3,suī
36,夕,3,xī
37,大,3,dà
38,女,3,nǚ
39,子,3,zǐ
40,宀,3,mián
41,寸,3,cùn
42,小,3,xiǎo
43,尢,3,wāng
44,尸,3,shī
45,屮,3,chè
46,山,3,shān
47,川,3,chuān
48,工,3,gōng
49,己,3,jǐ
50,巾,3,jīn
51,干,3,gān
52,幺,3,yāo
53,广,3,yǎn
54,廴,3,yǐn
55,廾,3,gǒng
56,弋,3,yì
57,弓,3,gōng
58,彐,3,jì
59,彡,3,shān
60,彳,3,chì
61,心,4,xīn
62,戈,4,gē
63,戶,4,hù
64,手,4,shǒu
65,支,4,zhī
66,攴,4,pū
67,文,4,wén
68,斗,4,dǒu
69,斤,4,jīn
70,方,4,fāng
71,无,4,wú
72,日,4,rì
73,曰,4,yuē
74,月,4,yuè
75,木,4,mù
76,欠,4,qiàn
77,止,4,zhǐ
78,歹,4,dǎi
79,殳,4,shū
80,毋,4,wú
81,比,4,bǐ
82,毛,4,máo
83,氏,4,shì
84,气,4,qì
85,水,4,shuǐ
86,火,4,huǒ
87,爪,4,zhǎo
88,父,4,fù
89,爻,4,yáo
90,爿,4,qiáng
91,片,4,piàn
92,牙,4,yá
93,牛,4,niú
94,犬,4,quǎn
95,玄,5,xuán
96,玉,5,yù
97,瓜,5,guā
98,瓦,5,wǎ
99,甘,5,gān
100,生,5,shēng
101,用,5,yòng
102,田,5,tián
103,疋,5,pǐ
104,疒,5,nè
105,癶,5,bō
106,白,5,bái
107,皮,5,pí
108,皿,5,mǐn
109,目,5,mù
110,矛,5,máo
111,矢,5,shǐ
112,石,5,shí
113,示,5,shì
114,禸,5,róu
115,禾,5,hé
116,穴,5,xué
117,立,5,lì
118,竹,6,zhú
119,米,6,mǐ
120,糸,6,mì
121,缶,6,fǒu
122,网,6,wǎng
123,羊,6,yáng
124,羽,6,yǔ
125,老,6,lǎo
126,而,6,ér
127,耒,6,lěi
128,耳,6,ěr
129,聿,6,yù
130,肉,6,ròu
131,臣,6,chén
132,自,6,zì
133,至,6,zhì
134,臼,6,jiù
135,舌,6,shé
136,舛,6,chuǎn
137,舟,6,zhōu
138,艮,6,gèn
139,色,6,sè
140,艸,6,cǎo
141,虍,6,hū
142,虫,6,chóng
143,血,6,xuè
144,行,6,xíng
145,衣,6,yī
146,西,6,yà
147,見,7,jiàn
148,角,7,jiǎo
149,言,7,yán
150,谷,7,gǔ
151,豆,7,dòu
152,豕,7,shǐ
153,豸,7,zhì
154,貝,7,bèi
155,赤,7,chì
156,走,7,zǒu
157,足,7,zú
158,身,7,shēn
159,車,7,chē
160,辛,7,xīn
161,辰,7,chén
162,辵,7,chuò
163,邑,7,yì
164,酉,7,yǒu
165,釆,7,biàn
166,里,7,lǐ
167,金,8,jīn
168,長,8,cháng
169,門,8,mén
170,阜,8,fù
171,隶,8,lì
172,隹,8,zhuī
173,雨,8,yǔ
174,青,8,qīng
175,非,8,fēi
176,面,9,miàn
177,革,9,gé
178,韋,9,wéi
179,韭,9,jiǔ
180,音,9,yīn
181,頁,9,yè
182,風,9,fēng
183,飛,9,fēi
184,食,9,shí
185,首,9,shǒu
186,香,9,xiāng
187,馬,10,mǎ
188,骨,10,gǔ
189,高,10,gāo
190,髟,10,biāo
191,鬥,10,dòu
192,鬯,10,chàng
193,鬲,10,lì
194,鬼,10,guǐ
195,魚,11,yú
196,鳥,11,niǎo
197,卤,11,lǔ
198,鹿,11,lù
199,麥,11,mài
200,麻,11,má
201,黃,12,huáng
202,黍,12,shǔ
203,黑,12,hēi
204,黹,12,zhǐ
205,黽,13,mǐn
206,鼎,13,dǐng
207,鼓,13,gǔ
208,鼠,13,shǔ
209,鼻,14,bí
210,齊,14,qí
211,齒,15,chǐ
212,龍,16,lóng
213,龜,16,guī
214,龠,17,yuè
